Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Black widow spider envenomation.","/pubmed/17265903","Peterson ME.","Clin Tech Small Anim Pract. 2006 Nov;21(4):187-90. Review.","Clin Tech Small Anim Pract.  2006","PubMed","citation","PMID:17265903","pubmed","17265903","create date:2007/02/03 | first author:Peterson ME",
"Companion animals in disaster response planning, part 2: the NEHA Second Dog and First Cat speak out.","/pubmed/17265725","Collins RF.","J Environ Health. 2007 Jan-Feb;69(6):4, 23. No abstract available. ","J Environ Health.  2007","PubMed","citation","PMID:17265725","pubmed","17265725","create date:2007/02/03 | first author:Collins RF",
"Pet keeping and dampness in the dwelling: associations with airway infections, symptoms, and physiological signs from the ocular and nasal mucosa.","/pubmed/17257153","Bakke JV, Norbäck D, Wieslander G, Hollund BE, Moen BE.","Indoor Air. 2007 Feb;17(1):60-9.","Indoor Air.  2007","PubMed","citation","PMID:17257153","pubmed","17257153","create date:2007/01/30 | first author:Bakke JV",
"[The first film presentation of REM sleep behavior disorder precedes its scientific debut by 35 years].","/pubmed/17252919","Janković SM, Sokić DV, Vojvodić NM, Ristić AJ.","Srp Arh Celok Lek. 2006 Sep-Oct;134(9-10):466-9. Serbian. ","Srp Arh Celok Lek.  2006","PubMed","citation","PMID:17252919","pubmed","17252919","create date:2007/01/27 | first author:Janković SM",
"Highly pathogenic avian influenza H5N1 virus in cats and other carnivores.","/pubmed/17250978","Thiry E, Zicola A, Addie D, Egberink H, Hartmann K, Lutz H, Poulet H, Horzinek MC.","Vet Microbiol. 2007 May 16;122(1-2):25-31. Epub 2007 Jan 23.","Vet Microbiol.  2007","PubMed","citation","PMID:17250978","pubmed","17250978","create date:2007/01/26 | first author:Thiry E",
"Endoscopic bronchial anatomy in the cat.","/pubmed/17241804","Caccamo R, Twedt DC, Buracco P, McKiernan BC.","J Feline Med Surg. 2007 Apr;9(2):140-9. Epub 2007 Jan 22.","J Feline Med Surg.  2007","PubMed","citation","PMID:17241804","pubmed","17241804","create date:2007/01/24 | first author:Caccamo R",
"Animal and human bite injuries in Victoria, 1998-2004.","/pubmed/17229033","MacBean CE, Taylor DM, Ashby K.","Med J Aust. 2007 Jan 1;186(1):38-40.","Med J Aust.  2007","PubMed","citation","PMID:17229033","pubmed","17229033","create date:2007/01/19 | first author:MacBean CE",
"Cryptosporidium spp. and other zoonotic enteric parasites in a sample of domestic dogs and cats in the Niagara region of Ontario.","/pubmed/17217087","Shukla R, Giraldo P, Kraliz A, Finnigan M, Sanchez AL.","Can Vet J. 2006 Dec;47(12):1179-84.","Can Vet J.  2006","PubMed","citation","PMID:17217087 | PMCID:PMC1636587","pubmed","17217087","create date:2007/01/16 | first author:Shukla R",
"Immunopathology of Dirofilaria immitis infection.","/pubmed/17216316","Simón F, Kramer LH, Román A, Blasini W, Morchón R, Marcos-Atxutegi C, Grandi G, Genchi C.","Vet Res Commun. 2007 Feb;31(2):161-71. Epub 2006 Dec 23. Review.","Vet Res Commun.  2007","PubMed","citation","PMID:17216316","pubmed","17216316","create date:2007/01/12 | first author:Simón F",
"Detection of an allergen in dog dander that cross-reacts with the major cat allergen, Fel d 1.","/pubmed/17210049","Reininger R, Varga EM, Zach M, Balic N, Lindemeier AD, Swoboda I, Grönlund H, van Hage M, Rumpold H, Valenta R, Spitzauer S.","Clin Exp Allergy. 2007 Jan;37(1):116-24.","Clin Exp Allergy.  2007","PubMed","citation","PMID:17210049","pubmed","17210049","create date:2007/01/11 | first author:Reininger R",
"An assessment of rabies free status of the Island of Andaman, Nicobar and Lakshadweep: results of the WHO sponsored national multicentric rabies survey.","/pubmed/17193752","Sudarshan MK, Mahendra BJ, Madhusudana SN, Rahman SA, Ashwathnarayana DH.","Indian J Public Health. 2006 Jan-Mar;50(1):11-4.","Indian J Public Health.  2006","PubMed","citation","PMID:17193752","pubmed","17193752","create date:2006/12/30 | first author:Sudarshan MK",
"Myeloma-related disorders in cats commonly present as extramedullary neoplasms in contrast to myeloma in human patients: 24 cases with clinical follow-up.","/pubmed/17186853","Mellor PJ, Haugland S, Murphy S, Smith KC, Holloway A, Archer J, Powell RM, Polton GA, Tasker S, McCormick D, Tempest ME, McNeil PE, Scase TJ, Knott CD, Bonfanti U, Villiers EJ, Argyle DJ, Herrtage ME, Day MJ.","J Vet Intern Med. 2006 Nov-Dec;20(6):1376-83.","J Vet Intern Med.  2006","PubMed","citation","PMID:17186853","pubmed","17186853","create date:2006/12/26 | first author:Mellor PJ",
"Requirement for, and patterns of, pyruvate and glutamine metabolism in the domestic dog oocyte in vitro.","/pubmed/17186552","Songsasen N, Spindler RE, Wildt DE.","Mol Reprod Dev. 2007 Jul;74(7):870-7.","Mol Reprod Dev.  2007","PubMed","citation","PMID:17186552","pubmed","17186552","create date:2006/12/23 | first author:Songsasen N",
"Dog ownership enhances symptomatic responses to air pollution in children with asthma.","/pubmed/17185284","McConnell R, Berhane K, Molitor J, Gilliland F, Künzli N, Thorne PS, Thomas D, Gauderman WJ, Avol E, Lurmann F, Rappaport E, Jerrett M, Peters JM.","Environ Health Perspect. 2006 Dec;114(12):1910-5.","Environ Health Perspect.  2006","PubMed","citation","PMID:17185284 | PMCID:PMC1764158","pubmed","17185284","create date:2006/12/23 | first author:McConnell R",
"Novel acetylcholinesterase target site for malaria mosquito control.","/pubmed/17183688","Pang YP.","PLoS One. 2006 Dec 20;1:e58.","PLoS One.  2006","PubMed","citation","PMID:17183688 | PMCID:PMC1762403","pubmed","17183688","create date:2006/12/22 | first author:Pang YP",
"Rabies surveillance in the United States during 2005.","/pubmed/17173527","Blanton JD, Krebs JW, Hanlon CA, Rupprecht CE.","J Am Vet Med Assoc. 2006 Dec 15;229(12):1897-911.","J Am Vet Med Assoc.  2006","PubMed","citation","PMID:17173527","pubmed","17173527","create date:2006/12/19 | first author:Blanton JD",
"Room-specific characteristics of suburban homes as predictors of indoor allergen concentrations.","/pubmed/17165271","Perry TT, Wood RA, Matsui EC, Curtin-Brosnan J, Rand C, Eggleston PA.","Ann Allergy Asthma Immunol. 2006 Nov;97(5):628-35.","Ann Allergy Asthma Immunol.  2006","PubMed","citation","PMID:17165271","pubmed","17165271","create date:2006/12/15 | first author:Perry TT",
"[Investigation of helminth infections of cats and dogs in the Hatay province].","/pubmed/17160852","Yaman M, Ayaz E, Gül A, Muz MN.","Turkiye Parazitol Derg. 2006;30(3):200-4. Turkish. ","Turkiye Parazitol Derg.  2006","PubMed","citation","PMID:17160852","pubmed","17160852","create date:2006/12/13 | first author:Yaman M",
"Influence of dog ownership and high endotoxin on wheezing and atopy during infancy.","/pubmed/17157656","Campo P, Kalra HK, Levin L, Reponen T, Olds R, Lummus ZL, Cho SH, Khurana Hershey GK, Lockey J, Villareal M, Stanforth S, Lemasters G, Bernstein DI.","J Allergy Clin Immunol. 2006 Dec;118(6):1271-8. Epub 2006 Sep 26.","J Allergy Clin Immunol.  2006","PubMed","citation","PMID:17157656 | PMCID:PMC2233938","pubmed","17157656","create date:2006/12/13 | first author:Campo P",
"Is mammalian chromosomal evolution driven by regions of genome fragility?","/pubmed/17156441","Ruiz-Herrera A, Castresana J, Robinson TJ.","Genome Biol. 2006;7(12):R115.","Genome Biol.  2006","PubMed","citation","PMID:17156441 | PMCID:PMC1794428","pubmed","17156441","create date:2006/12/13 | first author:Ruiz-Herrera A",
"Seroprevalence of Toxoplasma gondii antibodies in stray cats and dogs in the Bangkok metropolitan area, Thailand.","/pubmed/17141415","Jittapalapong S, Nimsupan B, Pinyopanuwat N, Chimnoi W, Kabeya H, Maruyama S.","Vet Parasitol. 2007 Apr 10;145(1-2):138-41. Epub 2006 Dec 1.","Vet Parasitol.  2007","PubMed","citation","PMID:17141415","pubmed","17141415","create date:2006/12/05 | first author:Jittapalapong S",
"Toxoplasmosis in piglets.","/pubmed/17135535","Thiptara A, Kongkaew W, Bilmad U, Bhumibhamon T, Anan S.","Ann N Y Acad Sci. 2006 Oct;1081:336-8.","Ann N Y Acad Sci.  2006","PubMed","citation","PMID:17135535","pubmed","17135535","create date:2006/12/01 | first author:Thiptara A",
"Serological evidence for Borna disease virus infection in humans, wild rodents and other vertebrates in Finland.","/pubmed/17129759","Kinnunen PM, Billich C, Ek-Kommonen C, Henttonen H, Kallio RK, Niemimaa J, Palva A, Staeheli P, Vaheri A, Vapalahti O.","J Clin Virol. 2007 Jan;38(1):64-9. Epub 2006 Nov 28.","J Clin Virol.  2007","PubMed","citation","PMID:17129759","pubmed","17129759","create date:2006/11/30 | first author:Kinnunen PM",
"Allergic sensitization to common airborne allergens among adults in Estonia.","/pubmed/17114890","Raukas-Kivioja A, Raukas ES, Meren M, Loit HM, Rönmark E, Lundbäck B.","Int Arch Allergy Immunol. 2007;142(3):247-54. Epub 2006 Nov 15.","Int Arch Allergy Immunol.  2007","PubMed","citation","PMID:17114890","pubmed","17114890","create date:2006/11/23 | first author:Raukas-Kivioja A",
"Development of species identification tests targeting the 16S ribosomal RNA coding region in mitochondrial DNA.","/pubmed/17109160","Imaizumi K, Akutsu T, Miyasaka S, Yoshino M.","Int J Legal Med. 2007 May;121(3):184-91. Epub 2006 Nov 16.","Int J Legal Med.  2007","PubMed","citation","PMID:17109160","pubmed","17109160","create date:2006/11/17 | first author:Imaizumi K",
"A comparative study of asthma, pollen, cat and dog allergy among pupils and allergen levels in schools in Taiyuan city, China, and Uppsala, Sweden.","/pubmed/17100662","Zhao ZH, Elfman L, Wang ZH, Zhang Z, Norbäck D.","Indoor Air. 2006 Dec;16(6):404-13.","Indoor Air.  2006","PubMed","citation","PMID:17100662","pubmed","17100662","create date:2006/11/15 | first author:Zhao ZH",
"Immune response after neonatal transfer of a human factor IX-expressing retroviral vector in dogs, cats, and mice.","/pubmed/17095052","Xu L, Mei M, Haskins ME, Nichols TC, O'donnell P, Cullen K, Dillow A, Bellinger D, Ponder KP.","Thromb Res. 2007;120(2):269-80. Epub 2006 Nov 7.","Thromb Res.  2007","PubMed","citation","PMID:17095052","pubmed","17095052","create date:2006/11/11 | first author:Xu L",
"Mutational analysis of aminopeptidase N, a receptor for several group 1 coronaviruses, identifies key determinants of viral host range.","/pubmed/17093189","Tusell SM, Schittone SA, Holmes KV.","J Virol. 2007 Feb;81(3):1261-73. Epub 2006 Nov 8.","J Virol.  2007","PubMed","citation","PMID:17093189 | PMCID:PMC1797531","pubmed","17093189","create date:2006/11/10 | first author:Tusell SM",
"Use of controlled ventilation in a clinical setting.","/pubmed/17088397","Sereno RL.","J Am Anim Hosp Assoc. 2006 Nov-Dec;42(6):477-80. Review.","J Am Anim Hosp Assoc.  2006","PubMed","citation","PMID:17088397","pubmed","17088397","create date:2006/11/08 | first author:Sereno RL",
"Dietary influences on periodontal health in dogs and cats.","/pubmed/17085242","Logan EI.","Vet Clin North Am Small Anim Pract. 2006 Nov;36(6):1385-401, ix. Review.","Vet Clin North Am Small Anim Pract.  2006","PubMed","citation","PMID:17085242","pubmed","17085242","create date:2006/11/07 | first author:Logan EI",
"Nutrition in critical illness.","/pubmed/17085231","Chan DL, Freeman LM.","Vet Clin North Am Small Anim Pract. 2006 Nov;36(6):1225-41, v-vi. Review.","Vet Clin North Am Small Anim Pract.  2006","PubMed","citation","PMID:17085231","pubmed","17085231","create date:2006/11/07 | first author:Chan DL",
"Inherited metabolic disease in companion animals: searching for nature's mistakes.","/pubmed/17085062","Sewell AC, Haskins ME, Giger U.","Vet J. 2007 Sep;174(2):252-9. Epub 2006 Nov 7. Review.","Vet J.  2007","PubMed","citation","PMID:17085062 | PMCID:PMC3132193","pubmed","17085062","create date:2006/11/07 | first author:Sewell AC",
"Distribution of allergens in children with different atopic disorders in central Taiwan.","/pubmed/17078465","Huang HW, Lue KH, Wong RH, Sun HL, Sheu JN, Lu KH.","Acta Paediatr Taiwan. 2006 May-Jun;47(3):127-34.","Acta Paediatr Taiwan.  2006","PubMed","citation","PMID:17078465","pubmed","17078465","create date:2006/11/03 | first author:Huang HW",
"Clinical characteristics and predictors of mortality for Cryptococcus gattii infection in dogs and cats of southwestern British Columbia.","/pubmed/17078248","Duncan C, Stephen C, Campbell J.","Can Vet J. 2006 Oct;47(10):993-8.","Can Vet J.  2006","PubMed","citation","PMID:17078248 | PMCID:PMC1571133","pubmed","17078248","create date:2006/11/03 | first author:Duncan C",
"The animal-human bond and ethnic diversity.","/pubmed/17076123","Risley-Curtiss C, Holley LC, Wolf S.","Soc Work. 2006 Jul;51(3):257-68.","Soc Work.  2006","PubMed","citation","PMID:17076123","pubmed","17076123","create date:2006/11/02 | first author:Risley-Curtiss C",
"Direct characterization of Blastocystis from faeces by PCR and evidence of zoonotic potential.","/pubmed/17052374","Parkar U, Traub RJ, Kumar S, Mungthin M, Vitali S, Leelayoova S, Morris K, Thompson RC.","Parasitology. 2007 Mar;134(Pt 3):359-67. Epub 2006 Oct 19.","Parasitology.  2007","PubMed","citation","PMID:17052374","pubmed","17052374","create date:2006/10/21 | first author:Parkar U",
"Detection of Borrelia garinii, Borrelia tanukii and Borrelia sp. closely related to Borrelia valaisiana in Ixodes ticks removed from dogs and cats in Japan.","/pubmed/17049744","Hiraoka H, Shimada Y, Sakata Y, Watanabe M, Itamoto K, Okuda M, Masuzawa T, Inokuma H.","Vet Parasitol. 2007 Mar 15;144(1-2):188-92. Epub 2006 Oct 17.","Vet Parasitol.  2007","PubMed","citation","PMID:17049744","pubmed","17049744","create date:2006/10/20 | first author:Hiraoka H",
"Notes on some ectoparasites received by the Medical Entomology Unit, Institute for Medical Research.","/pubmed/17041562","Lee HL, Krishnasamy M, Jeffery J, Paramasvaran S.","Trop Biomed. 2006 Jun;23(1):131-2.","Trop Biomed.  2006","PubMed","citation","PMID:17041562","pubmed","17041562","create date:2006/10/17 | first author:Lee HL",
"Human microsporidial infection and possible animal sources.","/pubmed/17035814","Curry A.","Curr Opin Infect Dis. 1999 Oct;12(5):473-80.","Curr Opin Infect Dis.  1999","PubMed","citation","PMID:17035814","pubmed","17035814","create date:2006/10/13 | first author:Curry A",
"Domestic dogs and cats as sources of Trypanosoma cruzi infection in rural northwestern Argentina.","/pubmed/17032467","Gürtler RE, Cecere MC, Lauricella MA, Cardinal MV, Kitron U, Cohen JE.","Parasitology. 2007 Jan;134(Pt 1):69-82. Epub 2006 Oct 11.","Parasitology.  2007","PubMed","citation","PMID:17032467 | PMCID:PMC2669415","pubmed","17032467","create date:2006/10/13 | first author:Gürtler RE",
"Identification and characterisation of the dopamine receptor II from the cat flea Ctenocephalides felis (CfDopRII).","/pubmed/17027841","Gerber S, Krasky A, Rohwer A, Lindauer S, Closs E, Rognan D, Gunkel N, Selzer PM, Wolf C.","Insect Biochem Mol Biol. 2006 Oct;36(10):749-58. Epub 2006 Aug 7.","Insect Biochem Mol Biol.  2006","PubMed","citation","PMID:17027841","pubmed","17027841","create date:2006/10/10 | first author:Gerber S",
"Glucose transporter 1 localisation throughout pregnancy in the carnivore placenta: light and electron microscope studies.","/pubmed/17027079","Wooding FB, Dantzer VB, Klisch K, Jones CJ, Forhead AJ.","Placenta. 2007 May-Jun;28(5-6):453-64. Epub 2006 Oct 5.","Placenta.  2007","PubMed","citation","PMID:17027079","pubmed","17027079","create date:2006/10/10 | first author:Wooding FB",
"Prevalence and host determinants of occupational bronchial asthma in animal shelter workers.","/pubmed/17021841","Krakowiak A, Krawczyk P, Szulc B, Wiszniewska M, Kowalczyk M, Walusiak J, Pałczyński C.","Int Arch Occup Environ Health. 2007 Apr;80(5):423-32. Epub 2006 Oct 5.","Int Arch Occup Environ Health.  2007","PubMed","citation","PMID:17021841","pubmed","17021841","create date:2006/10/06 | first author:Krakowiak A",
"Distribution of Toxocara infection in the environment and in definitive and paratenic hosts in Estonia.","/pubmed/17020143","Talvik H, Moks E, Mägi E, Järvis T, Miller I.","Acta Vet Hung. 2006 Sep;54(3):399-406.","Acta Vet Hung.  2006","PubMed","citation","PMID:17020143","pubmed","17020143","create date:2006/10/06 | first author:Talvik H",
"A 1.5-Mb-resolution radiation hybrid map of the cat genome and comparative analysis with the canine and human genomes.","/pubmed/16997530","Murphy WJ, Davis B, David VA, Agarwala R, Schäffer AA, Pearks Wilkerson AJ, Neelam B, O'Brien SJ, Menotti-Raymond M.","Genomics. 2007 Feb;89(2):189-96. Epub 2006 Sep 25.","Genomics.  2007","PubMed","citation","PMID:16997530 | PMCID:PMC3760348","pubmed","16997530","create date:2006/09/26 | first author:Murphy WJ",
Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"A prospective study to determine the incidence of atopy in children undergoing adenotonsillectomy for obstructive sleep apnea.","/pubmed/16979762","Carr E, Obholzer R, Caulfield H.","Int J Pediatr Otorhinolaryngol. 2007 Jan;71(1):19-22. Epub 2006 Sep 18.","Int J Pediatr Otorhinolaryngol.  2007","PubMed","citation","PMID:16979762","pubmed","16979762","create date:2006/09/19 | first author:Carr E",
